trip_id,t1,t2
1301452,1510958145.007839,1510957101.6942365
1300076,1510956590.8669817,1510957770.8187723
1300316,1510956735.4734406,1510957906.5388772
1300273,1510957395.2418783,1510956382.8442202
1300523,1510957032.5619376,1510958182.1761413
1300374,1510957729.316003,1510956679.6784744
1300731,1510957344.8945658,1510958471.2499356
1300681,1510958082.434114,1510956855.8703144
1300771,1510958235.416829,1510957179.5025535
1301130,1510958358.7138715,1510957354.1988213
1301136,1510958025.6681957,1510959100.6569822
1302289,1510958691.6059067,1510959651.9267917
1301277,1510958254.828929,1510959157.0734808
1303059,1510959213.2875137,1510960310.1480725
1301571,1510958805.7376566,1510959825.4253006
1301654,1510958858.4775522,1510959918.4932282
1301844,1510958936.7792015,1510959968.0008874
1301987,1510959128.652942,1510960213.3195982
1302184,1510959286.9969542,1510960424.573877
1301994,1510959982.2626746,1510958494.1943157
1302348,1510960141.4067178,1510958899.096092
1302552,1510960346.9585397,1510959292.7390804
1302474,1510959708.031909,1510960675.458304
1302670,1510960262.8957574,1510961204.2620144
1302840,1510960442.9884076,1510961305.5910776
1303022,1510961300.9742353,1510960126.8692842
1303374,1510961385.4193752,1510960252.18097
1304903,1510962352.9277613,1510961458.5000849
1304847,1510961772.9946113,1510962673.7027085
1305496,1510963146.4841557,1510962263.9863513
1303511,1510961328.2071776,1510962521.9480374
1304844,1510961892.4355555,1510960922.6712215
1304082,1510961670.4126592,1510962598.5122075
1303901,1510962043.5633283,1510961205.4971862
1304253,1510961985.5303242,1510962862.2758086
1304249,1510962558.407061,1510961237.3925157
1304355,1510962633.1026936,1510961609.958617
1304727,1510962962.2532163,1510961934.998774
1305743,1510964075.0911686,1510963191.472078
1306398,1510964614.891592,1510963700.1363404
1305972,1510964239.3959436,1510963247.9823942
1306114,1510964916.1887388,1510965708.4961064
1306536,1510965355.9559882,1510964454.1546717
1307796,1510965571.9604478,1510966377.8622563
1306568,1510965518.2661207,1510964585.7928839
1306727,1510965533.7641392,1510964597.1664298
1306937,1510965689.435513,1510966476.3503308
1306938,1510965864.050027,1510964849.221006
1311638,1510972039.9286337,1510972811.3688262
1318811,1510990666.2551928,1510991854.0987813
1320285,1511003339.1098528,1511002876.4534414
1320130,1511003782.60519,1511003125.1037397
